permno,month,ret_excess,mkt_excess,smb,hml,beta,size,bm
10044,2000-01-01,-0.0040999999999999995,-0.047400000000000005,0.057699999999999994,-0.018799999999999997,-0.21581295125254676,-0.18871181010353064,0.35900883301739145
10044,2000-02-01,-0.1471571492433548,0.0245,0.21359999999999998,-0.0959,-0.24517016587384508,-0.19549187096614187,0.35900883301739145
10044,2000-03-01,0.2036333283662796,0.052000000000000005,-0.172,0.08130000000000001,-0.14089242605083502,-0.19202755829513315,0.35900883301739145
10044,2000-04-01,0.01838850566148758,-0.064,-0.0668,0.0726,-0.2234724401715022,-0.1838409256429609,0.35900883301739145
10044,2000-05-01,-0.1061235937476158,-0.044199999999999996,-0.0605,0.0475,-0.17989681851111824,-0.21158739182558758,0.35900883301739145
10044,2000-06-01,-0.05400000074505806,0.0464,0.1284,-0.0842,-0.22372751654388667,-0.22088846350464333,0.35900883301739145
10044,2000-07-01,0.008357894834876062,-0.025099999999999997,-0.030699999999999998,0.08310000000000001,-0.22593515776859896,-0.20330293664513016,0.5987266144984392
10044,2000-08-01,-0.2127922075986862,0.0703,-0.0060999999999999995,-0.0139,-0.42074021106944093,-0.21594021396351143,0.5987266144984392
10044,2000-09-01,0.027686883413791663,-0.0545,-0.0182,0.0717,-0.44981649942586505,-0.2117363352278643,0.5987266144984392
10044,2000-10-01,-0.005600000000000001,-0.0276,-0.0388,0.0571,-0.48241423609271394,-0.22437837769652214,0.5987266144984392
10044,2000-11-01,-0.1797031790971756,-0.1072,-0.0341,0.12300000000000001,-0.19334251220726217,-0.22109008538856992,0.5987266144984392
10044,2000-12-01,0.05269230797886848,0.011899999999999999,0.0073,0.0761,-0.19360737025207145,-0.23162926673049244,0.5987266144984392
10044,2001-01-01,0.4491454680919647,0.0313,0.0668,-0.0507,-0.05522437921720621,-0.2557228514218339,0.5987266144984392
10044,2001-02-01,-0.01630000018626451,-0.1005,-0.0078000000000000005,0.1247,-0.0907501318428318,-0.23328089272301805,0.5987266144984392
10044,2001-03-01,0.2995974536418915,-0.0726,0.0025,0.0642,-0.3729901749330009,-0.2352156058767099,0.5987266144984392
10044,2001-04-01,0.02134270303547382,0.0794,0.0055000000000000005,-0.0467,-0.37558160695006365,-0.2356748944363547,0.5987266144984392
10044,2001-05-01,0.09528486632108689,0.0072,0.025,0.0336,-0.40767615364542975,-0.22008623518247025,0.5987266144984392
10044,2001-06-01,0.2799586531639099,-0.0194,0.062400000000000004,-0.011200000000000002,-0.426314061069119,-0.21749453028663254,0.5987266144984392
10044,2001-07-01,-0.10192473369836808,-0.0213,-0.04190000000000001,0.0521,-0.4985990102023685,-0.21073918897366145,-0.22653347877478536
10044,2001-08-01,-0.024579750052094458,-0.0646,0.0248,0.0231,-0.4628177946001599,-0.2201436731484289,-0.22653347877478536
10044,2001-09-01,0.10939513416290281,-0.0925,-0.0623,0.014499999999999999,-0.5748839497063483,-0.22910826406937135,-0.22653347877478536
10044,2001-10-01,0.2050368860244751,0.0246,0.0748,-0.0765,-0.5454894126478819,-0.23121378946644672,-0.22653347877478536
10044,2001-11-01,0.31346796350479134,0.0754,-0.004699999999999999,0.022099999999999998,-0.3538506184085851,-0.22024835262853248,-0.22653347877478536
10044,2001-12-01,-0.01738394679129124,0.016,0.047400000000000005,0.0084,-0.3988319334965856,-0.2174839749393759,-0.22653347877478536
10044,2002-01-01,-0.02596142939627171,-0.0144,0.011899999999999999,0.0344,-0.31570842845276226,-0.2145105977375016,-0.22653347877478536
10044,2002-02-01,-0.048745986419916155,-0.0229,-0.0101,0.0216,-0.298242534095157,-0.21718705917346878,-0.22653347877478536
10044,2002-03-01,0.4487962495803833,0.0424,0.0421,0.0106,-0.2502356205186015,-0.22784240269837588,-0.22653347877478536
10044,2002-04-01,-0.07427773320674896,-0.052000000000000005,0.0596,0.0388,-0.13379758334667863,-0.22854183911888576,-0.22653347877478536
10044,2002-05-01,-0.15971336379051213,-0.0138,-0.0321,0.015300000000000001,-0.20585211439364606,-0.2398496241257259,-0.22653347877478536
10044,2002-06-01,-0.06280453165173532,-0.0721,0.0429,-5e-4,-0.14111440114257914,-0.24327588094108732,-0.22653347877478536
10044,2002-07-01,-0.17662090504169461,-0.0818,-0.0528,-0.0385,-0.0473838667839724,-0.23648606804606045,-0.7756518458600588
10044,2002-08-01,0.02158848517239094,0.005,-0.0286,0.032799999999999996,-0.05879278692149045,-0.23873466319865685,-0.7756518458600588
10044,2002-09-01,0.00985850062817335,-0.1035,0.024,0.0147,-0.22579773174205986,-0.23605308140116515,-0.7756518458600588
10044,2002-10-01,-0.1125308932304382,0.0784,-0.0341,-0.0395,-0.396020240470356,-0.23682000697774486,-0.7756518458600588
10044,2002-11-01,-0.11120001430511471,0.0596,0.0318,-0.0123,-0.4644384667605971,-0.22298197476402548,-0.7756518458600588
10044,2002-12-01,0.1406134553194046,-0.0576,9e-4,0.021400000000000002,-0.52317086941531,-0.21898638742907073,-0.7756518458600588
10044,2003-01-01,-0.2752034196853638,-0.025699999999999997,0.013300000000000001,-0.0083,-0.47964927082559833,-0.2233235183524103,-0.7756518458600588
10044,2003-02-01,0.15164238247871398,-0.018799999999999997,-0.0045000000000000005,-0.0139,-0.38943906951671686,-0.22734597821975952,-0.7756518458600588
10044,2003-03-01,-0.01570593828707933,0.0109,0.0102,-0.019299999999999998,-0.4976127191504709,-0.2254820666891314,-0.7756518458600588
10044,2003-04-01,0.1960150321722031,0.08220000000000001,0.0063,0.011399999999999999,-0.43098226140245843,-0.2229345958447719,-0.7756518458600588
10044,2003-05-01,-0.0320721283942461,0.0605,0.0467,0.004,-0.44579642097534344,-0.2243033137162841,-0.7756518458600588
10044,2003-06-01,0.02860103191435337,0.014199999999999999,0.0174,0.0011,-0.4341735911848737,-0.23254081437243948,-0.7756518458600588
10044,2003-07-01,0.1430499523162842,0.0235,0.0506,-0.0124,-0.4189281042585019,-0.22972092079692047,-0.37189538946290335
10044,2003-08-01,0.06760603629350662,0.023399999999999997,0.0259,0.015300000000000001,-0.573251172994114,-0.22872171956916226,-0.37189538946290335
10044,2003-09-01,0.17847838861942292,-0.0124,0.008,0.0016,-0.5837199506755658,-0.2291822981358714,-0.37189538946290335
10044,2003-10-01,-0.0040219780307263146,0.0608,0.027000000000000003,0.0197,-0.7192423929628585,-0.22264998855235,-0.37189538946290335
10044,2003-11-01,0.05896581776738167,0.013500000000000002,0.0208,0.0178,-0.6420164985189529,-0.23457584987475133,-0.37189538946290335
10044,2003-12-01,0.06161663172841072,0.0429,-0.0268,0.016,-0.6234255983880859,-0.23763222520789534,-0.37189538946290335
10044,2004-01-01,0.1248785375833511,0.0215,0.0255,0.024900000000000002,-0.5596108973134502,-0.23804515574359772,-0.37189538946290335
10044,2004-02-01,0.00811073454618454,0.013999999999999999,-0.0158,0.009000000000000001,-0.5474371849918869,-0.2349166229415478,-0.37189538946290335
10044,2004-03-01,0.04158708859086037,-0.0132,0.0172,0.0027,-0.4812975851539938,-0.23980273211911285,-0.37189538946290335
10044,2004-04-01,0.005299986843764782,-0.0183,-0.0168,-0.031,-0.4411800870500368,-0.24359314653856093,-0.37189538946290335
10044,2004-05-01,0.054464104497432705,0.011699999999999999,-0.002,-0.0025,-0.32856251141657367,-0.2398133149176921,-0.37189538946290335
10044,2004-06-01,0.31422598524093626,0.018600000000000002,0.0226,0.0118,-0.29857873977298005,-0.24122622007523578,-0.37189538946290335
10044,2004-07-01,0.02275298365950584,-0.0406,-0.0381,0.032400000000000005,-0.32269458329661893,-0.23485189637568438,-1.1441588631760609
10044,2004-08-01,-0.15423224494457238,8e-4,-0.0148,0.0097,-0.32562282459507846,-0.23057683393648554,-1.1441588631760609
10044,2004-09-01,0.1494968123674393,0.016,0.0301,0,-0.31104128989687707,-0.23411509583056575,-1.1441588631760609
10044,2004-10-01,0.02603488973677158,0.0143,0.0015,-0.0022,-0.28843736269167825,-0.23236024850733816,-1.1441588631760609
10044,2004-11-01,0.1228201643228531,0.0454,0.0374,0.0141,-0.2208629533465108,-0.23174452203939522,-1.1441588631760609
10044,2004-12-01,0.01646805282831192,0.034300000000000004,-3e-4,-0.0022,-0.24225026867261581,-0.2398242431808066,-1.1441588631760609
10044,2005-01-01,0.1287754150867462,-0.0276,-0.0172,0.0206,-0.2683602008598881,-0.2429626579916028,-1.1441588631760609
10044,2005-02-01,0.29631659116745,0.0189,-0.005699999999999999,0.0154,-0.17842662635660828,-0.24320047955656154,-1.1441588631760609
10044,2005-03-01,0.20747502722740171,-0.0197,-0.013999999999999999,0.0204,-0.26351574942142664,-0.247153020698106,-1.1441588631760609
